Configuration,Category,Parameter,Value,Power_W,RMSE,Accuracy_Percent,Latency_ms,Notes
Baseline,Variance Thresholds,tau_1/tau_2,0.05/0.15,0.21,0.62,95.0,32,Optimal via grid search
Lower Threshold,Variance Thresholds,tau_1/tau_2,0.04/0.12,0.22,0.60,95.8,33,+7% power -3% RMSE
Higher Threshold,Variance Thresholds,tau_1/tau_2,0.06/0.18,0.19,0.66,92.4,31,-9% power +6% RMSE
Baseline,HW-NAS Energy Weight,lambda_E,0.10,0.21,0.62,95.0,32,Balances accuracy-power
High Energy Weight,HW-NAS Energy Weight,lambda_E,0.15,0.18,0.65,93.2,30,-12% power -2.1% accuracy
Low Energy Weight,HW-NAS Energy Weight,lambda_E,0.05,0.23,0.61,95.3,34,+8% power +0.3% accuracy
Baseline,HW-NAS Latency Weight,lambda_L,0.05,0.21,0.62,95.0,32,Baseline latency weight
High Latency Weight,HW-NAS Latency Weight,lambda_L,0.08,0.21,0.63,94.7,29,-9% latency -0.3% accuracy
Low Latency Weight,HW-NAS Latency Weight,lambda_L,0.02,0.22,0.62,95.1,35,+9% latency +0.1% accuracy
Adaptive 4-8 bit,Quantization Scheme,Bit-width,4-8 dynamic,0.21,0.62,95.0,32,Dynamic bit-width allocation
Fixed 8-bit,Quantization Scheme,Bit-width,8,0.32,0.61,95.1,35,+52% power for +0.1% accuracy
Fixed 6-bit,Quantization Scheme,Bit-width,6,0.26,0.68,92.8,33,-2.2% accuracy vs adaptive
Fixed 4-bit,Quantization Scheme,Bit-width,4,0.15,0.85,82.3,29,-12.7% accuracy (unsuitable)
Mixed Precision (Ours),Quantization Scheme,Layer Assignment,CNN:b_t TCN1-2:b_t-1 TCN3-4:b_t-2,0.21,0.62,95.0,32,Optimal mixed-precision allocation
Uniform Precision,Quantization Scheme,Layer Assignment,All layers b_t,0.28,0.64,93.1,34,+33% power vs mixed precision
